"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"1871","Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó s. str.","Traunsteiners Knabenkraut","Dactylorhiza traunsteineri","(Saut. ex Rchb.) Soó s. str.","plant"
"1873","Danthonia alpina Vest","Kelch-Traubenhafer","Danthonia alpina","Vest","plant"
"1874","Danthonia decumbens (L.) DC.","Dreizahn","Danthonia decumbens","(L.) DC.","plant"
"1879","Daphne cneorum L.","Rosmarin-Seidelbast","Daphne cneorum","L.","plant"
"1880","Daphne laureola L.","Lorbeer-Seidelbast","Daphne laureola","L.","plant"
"1881","Daphne mezereum L.","Gewoehnlicher Seidelbast","Daphne mezereum","L.","plant"
"1883","Daphne striata Tratt.","Gestreifter Seidelbast","Daphne striata","Tratt.","plant"
"1885","Datura stramonium L.","Weisser Stechapfel","Datura stramonium","L.","plant"
"1886","Daucus carota L.","Wilde Moehre","Daucus carota","L.","plant"
"1904","Deschampsia cespitosa (L.) P. Beauv. s. str.","Rasen-Schmiele","Deschampsia cespitosa","(L.) P. Beauv. s. str.","plant"
"20725","Deschampsia flexuosa (L.) Trin.","Draht-Schmiele","Deschampsia flexuosa","(L.) Trin.","plant"
"1905","Deschampsia littoralis (Gaudin) Reuter","Bodensee-Rasenschmiele","Deschampsia littoralis","(Gaudin) Reuter","plant"
"1907","Deschampsia media (Gouan) Roem. & Schult.","Binsen-Schmiele","Deschampsia media","(Gouan) Roem. & Schult.","plant"
"1908","Deschampsia setacea (Huds.) Hack.","Moor-Schmiele","Deschampsia setacea","(Huds.) Hack.","plant"
"1906","Deschampsia wibeliana (Sond.) Parl.","Elbe-Rasenschmiele","Deschampsia wibeliana","(Sond.) Parl.","plant"
"1909","Descurainia sophia (L.) Prantl","Besenrauke","Descurainia sophia","(L.) Prantl","plant"
"50361","Desmatodon heimii (Hedw.) Mitt.","","","","moss"
"6755","Dianthus arenarius L.","Sand-Nelke","Dianthus arenarius","L.","plant"
"1911","Dianthus arenarius subsp. borussicus Vierh.","Sand-Nelke","Dianthus arenarius subsp. borussicus","Vierh.","plant"
"1912","Dianthus armeria L.","Bueschel-Nelke","Dianthus armeria","L.","plant"
