plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Allium sphaerocephalon;L.;plant;Allium sphaerocephalon L.;Kugelköpfiger Lauch
Allium strictum;Schrad.;plant;Allium strictum Schrad.;Steifer Lauch
Allium suaveolens;Jacq.;plant;Allium suaveolens Jacq.;Wohlriechender Lauch
Allium ursinum;L.;plant;Allium ursinum L.;Bär-Lauch
Allium ursinum;L.;plant;Allium ursinum L.;Bärlauch
Allium victorialis;L.;plant;Allium victorialis L.;Allermannsharnisch
Allium vineale;L.;plant;Allium vineale L. s. l.;Weinbergs-Lauch
Allium vineale;L.;plant;Allium vineale L. s. l.;Weinberglauch
Allium vineale;L.;plant;Allium vineale L. s. l.;Weinbergslauch
Allium;;plant;Allium sp.;Lauch
Alnus alnobetula;;plant;Alnus alnobetula (Ehrh.) K. Koch;Grün-Erle
Alnus alnobetula;;plant;Alnus alnobetula (Ehrh.) K. Koch;Grünerle
Alnus viridis;;plant;Alnus viridis;Grünerle
Alnus glutinosa;(L.) P. Gaertn.;plant;Alnus glutinosa (L.) P. Gaertn.;Schwarz-Erle
Alnus glutinosa;(L.) P. Gaertn.;plant;Alnus glutinosa (L.) P. Gaertn.;Schwarzerle
Alnus incana;(L.) Moench;plant;Alnus incana (L.) Moench;Grau-Erle
Alnus incana;(L.) Moench;plant;Alnus incana (L.) Moench;Grauerle
Alnus;;plant;Alnus sp.;Erle
Alopecurus aequalis;Sobol.;plant;Alopecurus aequalis Sobol.;Rotgelbes Fuchsschwanzgras
Alopecurus arundinaceus;Poir.;plant;Alopecurus arundinaceus Poir.;Rohr-Fuchsschwanzgras
Alopecurus bulbosus;Gouan;plant;Alopecurus bulbosus Gouan;Knolliges Fuchsschwanzgras
Alopecurus geniculatus;L.;plant;Alopecurus geniculatus L.;Knick-Fuchsschwanzgras
Alopecurus myosuroides;Huds.;plant;Alopecurus myosuroides Huds.;Acker-Fuchsschwanzgras
Alopecurus myosuroides;Huds.;plant;Alopecurus myosuroides Huds.;Ackerfuchsschwanz
Alopecurus myosuroides;Huds.;plant;Alopecurus myosuroides Huds.;Acker-Fuchsschwanz
Alopecurus pratensis;L.;plant;Alopecurus pratensis L.;Wiesen-Fuchsschwanzgras
Alopecurus pratensis;L.;plant;Alopecurus pratensis L.;Wiesenfuchsschwanz
Alopecurus pratensis;L.;plant;Alopecurus pratensis L.;Wiesen-Fuchsschwanz
Alopecurus rendlei;Eig;plant;Alopecurus rendlei Eig;Aufgeblasenes Fuchsschwanzgras
Alopecurus;;plant;Alopecurus sp.;Fuchsschwanzgras
Althaea hirsuta;L.;plant;Althaea hirsuta L.;Rauer Eibisch
Althaea hirsuta;L.;plant;Althaea hirsuta L.;Rauher Eibisch
Althaea officinalis;L.;plant;Althaea officinalis L.;Echter Eibisch
Althaea;;plant;Althaea sp.;Eibisch
Alyssum alyssoides;(L.) L.;plant;Alyssum alyssoides (L.) L.;Kelch-Steinkraut
Alyssum montanum;L.;plant;Alyssum montanum L.;Berg-Steinkraut
Alyssum montanum;L.;plant;Alyssum montanum L.;Bergsteinkraut
Alyssum montanum subsp. gmelinii;(Jord. & Fourr.) Thell.;plant;Alyssum montanum subsp. gmelinii (Jord. & Fourr.) Thell.;Sand-Steinkraut
Alyssum montanum subsp. montanum;L.;plant;Alyssum montanum subsp. montanum L.;Gewöhnliches Berg-Steinkraut
Alyssum;;plant;Alyssum sp.;Steinkraut
Amaranthus albus;L.;plant;Amaranthus albus L.;Weißer Fuchsschwanz
Amaranthus blitoides;S. Watson;plant;Amaranthus blitoides S. Watson;Westamerikanischer Fuchsschwanz
Amaranthus blitum;L.;plant;Amaranthus blitum L. s. l.;Aufsteigender Fuchsschwanz
Amaranthus blitum subsp. emarginatus;(Moq. ex Uline & W. L. Bray) Carretero et. al.;plant;Amaranthus blitum subsp. emarginatus (Moq. ex Uline & W. L. Bray) Carretero et. al. s. l.;Ausgerandeter Fuchsschwanz
Amaranthus bouchonii;Thell.;plant;Amaranthus bouchonii Thell.;Bouchons Fuchsschwanz
Amaranthus graecizans;L.;plant;Amaranthus graecizans L.;Griechischer Fuchsschwanz
Amaranthus powellii;S. Watson;plant;Amaranthus powellii S. Watson;Grünähriger Fuchsschwanz
Amaranthus retroflexus;L.;plant;Amaranthus retroflexus L.;Zurückgekrümmter Fuchsschwanz
Amaranthus;;plant;Amaranthus sp.;Fuchsschwanz
Ambrosia coronopifolia;Torr. & A. Gray;plant;Ambrosia coronopifolia Torr. & A. Gray;Ausdauernde Ambrosie
Ambrosia;;plant;Ambrosia sp.;Ambrosie
Amelanchier ovalis;Medik.;plant;Amelanchier ovalis Medik.;Echte Felsenbirne
Amelanchier;;plant;Amelanchier sp.;Felsenbirne
Ammophila arenaria;(L.) Link;plant;Ammophila arenaria (L.) Link;Strandhafer
Anacamptis pyramidalis;(L.) Rich.;plant;Anacamptis pyramidalis (L.) Rich.;Hundswurz
Anagallis arvensis;L.;plant;Anagallis arvensis L.;Acker-Gauchheil
Anagallis arvensis;L.;plant;Anagallis arvensis L.;Ackergauchheil
Anagallis foemina;Mill.;plant;Anagallis foemina Mill.;Blauer Gauchheil
Anagallis minima;(L.) E. H. L. Krause;plant;Anagallis minima (L.) E. H. L. Krause;Acker-Kleinling
Anagallis tenella;(L.) L.;plant;Anagallis tenella (L.) L.;Zarter Gauchheil
Anagallis;;plant;Anagallis sp.;Gauchheil
Anarrhinum bellidifolium;(L.) Willd.;plant;Anarrhinum bellidifolium (L.) Willd.;Lochschlund
Anchusa arvensis;(L.) M. Bieb. s. l.;plant;Anchusa arvensis (L.) M. Bieb. s. l.;Acker-Krummhals
Anchusa officinalis;L.;plant;Anchusa officinalis L.;Gewöhnliche Ochsenzunge
Andromeda polifolia;L.;plant;Andromeda polifolia L.;Rosmarinheide
Androsace chamaejasme;Wulfen;plant;Androsace chamaejasme Wulfen;Bewimperter Mannsschild
Androsace elongata;L.;plant;Androsace elongata L.;Langgestielter Mannsschild
Androsace hausmannii;Leyb.;plant;Androsace hausmannii Leyb.;Dolomiten-Mannsschild
Androsace hausmannii;Leyb.;plant;Androsace hausmannii Leyb.;Dolomitenmannsschild
Androsace helvetica;(L.) All.;plant;Androsace helvetica (L.) All.;Schweizer Mannsschild
Androsace lactea;L.;plant;Androsace lactea L.;Milchweißer Mannsschild
Androsace maxima;L.;plant;Androsace maxima L.;Großer Mannsschild
Androsace obtusifolia;All.;plant;Androsace obtusifolia All.;Stumpfblättriger Mannsschild
Androsace septentrionalis;L.;plant;Androsace septentrionalis L.;Nördlicher Mannsschild
Androsace;;plant;Androsace sp.;Mannsschild
Anemone narcissiflora;L. , nom. et orth. cons. prop.;plant;Anemone narcissiflora L. , nom. et orth. cons. prop.;Berghähnlein
Anemone nemorosa;L.;plant;Anemone nemorosa L.;Busch-Windröschen
Anemone nemorosa;L.;plant;Anemone nemorosa L.;Buschwindröschen
Anemone ranunculoides;L.;plant;Anemone ranunculoides L.;Gelbes Windröschen
Anemone sylvestris;L.;plant;Anemone sylvestris L.;Großes Windröschen
Anemone;;plant;Anemone sp.;Windröschen
Angelica archangelica;L.;plant;Angelica archangelica L.;Arznei-Engelwurz
Angelica palustris;(Besser) Hoffm.;plant;Angelica palustris (Besser) Hoffm.;Sumpf-Engelwurz
Angelica palustris;(Besser) Hoffm.;plant;Angelica palustris (Besser) Hoffm.;Sumpfengelwurz
Angelica sylvestris;L.;plant;Angelica sylvestris L.;Wald-Engelwurz
Angelica sylvestris;L.;plant;Angelica sylvestris L.;Waldengelwurz
Angelica;;plant;Angelica sp.;Engelwurz
Antennaria carpatica;(Wahlenb.) Bluff & Fingerh.;plant;Antennaria carpatica (Wahlenb.) Bluff & Fingerh.;Karpaten-Katzenpfötchen
Antennaria dioica;(L.) P. Gaertn.;plant;Antennaria dioica (L.) P. Gaertn.;Gewöhnliches Katzenpfötchen
Antennaria;;plant;Antennaria sp.;Katzenpfötchen
Anthemis arvensis;L.;plant;Anthemis arvensis L.;Acker-Hundskamille
Anthemis arvensis;L.;plant;Anthemis arvensis L.;Ackerhundskamille
Anthemis austriaca;Jacq.;plant;Anthemis austriaca Jacq.;Österreichische Hundskamille
Anthemis cotula;L.;plant;Anthemis cotula L.;Stinkende Hundskamille
Anthemis ruthenica;M. Bieb.;plant;Anthemis ruthenica M. Bieb.;Ruthenische Hundskamille
Anthemis tinctoria;L.;plant;Anthemis tinctoria L.;Färber-Hundskamille
Anthemis;;plant;Anthemis sp.;Hundskamille
Anthericum liliago;L.;plant;Anthericum liliago L.;Traubige Graslilie
Anthericum ramosum;L.;plant;Anthericum ramosum L.;Rispige Graslilie
Anthericum;;plant;Anthericum sp.;Graslilie
Anthoxanthum alpinum;Å. Löve & D. Löve;plant;Anthoxanthum alpinum Å. Löve & D. Löve;Alpen-Ruchgras
Anthoxanthum alpinum;Å. Löve & D. Löve;plant;Anthoxanthum alpinum Å. Löve & D. Löve;Alpenruchgras
Anthoxanthum aristatum;Boiss.;plant;Anthoxanthum aristatum Boiss.;Grannen-Ruchgras
Anthoxanthum odoratum;L. s. str.;plant;Anthoxanthum odoratum L. s. str.;Gewöhnliches Ruchgras
Anthoxanthum;;plant;Anthoxanthum sp.;Ruchgras
Anthriscus caucalis;M. Bieb.;plant;Anthriscus caucalis M. Bieb.;Hunds-Kerbel
Anthriscus caucalis;M. Bieb.;plant;Anthriscus caucalis M. Bieb.;Hundskerbel
Anthriscus cerefolium;(L.) Hoffm.;plant;Anthriscus cerefolium (L.) Hoffm.;Garten-Kerbel
Anthriscus cerefolium;(L.) Hoffm.;plant;Anthriscus cerefolium (L.) Hoffm.;Gartenkerbel
